date,trade_rows,buy_vol,sell_vol,ofi,abs_ofi_ge_0.10,last_trade_px,source,had_brief
2026-08-03,58599,263.311705,276.068125,-0.023650,no,63607.16,gz-archive,yes
2026-08-04,132462,786.511243,691.305673,+0.064423,no,64199.3,gz-archive,yes
2026-08-05,441129,3776.979362,2939.427929,+0.124702,yes,64796.79,gz-archive,yes
2026-08-06,268014,1573.437654,1180.367298,+0.142737,yes,64254.4,gz-archive,yes
2026-08-07,417112,2927.760678,3482.626568,-0.086557,no,64965.5,gz-archive,yes
2026-08-08,150145,1102.760057,1024.032545,+0.037017,no,64754.59,gz-archive,no
2026-08-09,90376,645.774003,534.900478,+0.093907,no,65248.07,gz-archive,no
2026-08-10,333851,2521.159991,2962.389941,-0.080464,no,63897.94,gz-archive,yes
2026-08-11,408172,2788.232485,3631.626201,-0.131373,yes,63650.69,gz-archive,yes
2026-08-12,362584,2563.836766,3303.048999,-0.125997,yes,63722.87,gz-archive,yes
2026-08-13,248753,1417.934510,1990.160700,-0.167902,yes,62904.29,gz-archive,yes
2026-08-14,400935,2186.698553,2590.343371,-0.084497,no,63045.54,gz-archive,yes
2026-08-15,187462,349.313514,527.708672,-0.203410,yes,62993.72,gz-archive,no
2026-08-16,298009,1288.288932,1266.663909,+0.008464,no,63603.34,gz-archive,no
2026-08-17,804946,3258.929444,2688.185411,+0.095970,no,64266.41,gz-archive,yes
2026-08-18,747478,2601.118208,2172.352808,+0.089823,no,64289.82,gz-archive,yes
2026-08-19,1130648,10253.884722,9123.123535,+0.058356,no,69813.99,gz-archive,yes
2026-08-20,858511,7339.767087,7184.036982,+0.010722,no,75615.79,gz-archive,yes
2026-08-21,1363112,8833.387860,7287.269650,+0.095909,no,78325.54,gz-archive,yes
2026-08-22,1863596,2716.118172,2493.117245,+0.042809,no,77054.44,gz-archive,no
2026-08-23,1472977,2110.466240,2269.324996,-0.036271,no,77729.36,gz-archive,no
2026-08-24,1889091,5986.951042,5252.240073,+0.065370,no,78981.59,gz-archive,yes
2026-08-25,804558,3337.060937,3063.809083,+0.042690,no,78628.13,gz-archive,yes
2026-08-26,742145,2116.270128,2280.664976,-0.037389,no,79026.18,gz-archive,yes
2026-08-27,583843,4697.745223,4738.735041,-0.004344,no,80275.34,gz-archive,yes
2026-08-28,634755,5417.297922,5884.904334,-0.041373,no,77839.19,gz-archive,yes
2026-08-29,309048,1027.267863,1623.726983,-0.224994,yes,78106.22,gz-archive,no
2026-08-30,99968,455.153178,531.200458,-0.077099,no,77515.65,gz-archive,no
2026-08-31,479396,3785.961894,3296.749056,+0.069071,no,78562.74,gz-archive,yes
2026-09-01,454736,2665.034072,3594.704593,-0.148516,yes,77398.69,gz-archive,no
2026-09-02,169640,1066.889136,1232.916054,-0.072192,no,77101.03,live-csv,no
